iter	Passed	Remaining
402	12195	48326
403	12228	48309
404	12265	48304
405	12297	48283
406	12331	48265
407	12365	48248
408	12400	48237
409	12435	48224
410	12467	48202
411	12501	48183
412	12533	48161
413	12566	48140
414	12599	48122
415	12631	48098
416	12665	48078
417	12695	48049
418	12728	48026
419	12757	47990
420	12786	47958
421	12815	47921
422	12851	47910
423	12883	47887
424	12915	47862
425	12947	47837
426	12980	47817
427	13011	47790
428	13044	47768
429	13075	47740
430	13108	47721
431	13140	47693
432	13171	47667
433	13203	47642
434	13235	47618
435	13263	47579
436	13295	47555
437	13327	47530
438	13362	47512
439	13402	47516
440	13439	47510
441	13472	47488
442	13512	47490
443	13546	47473
444	13576	47443
445	13607	47414
446	13640	47391
447	13671	47362
448	13703	47337
449	13735	47312
450	13768	47289
451	13802	47269
452	13836	47250
453	13868	47226
454	13902	47206
455	13935	47183
456	13968	47162
457	14000	47136
458	14034	47118
459	14068	47099
460	14100	47072
461	14132	47045
462	14165	47023
463	14195	46991
464	14226	46964
465	14258	46936
466	14291	46914
467	14320	46878
468	14352	46851
469	14382	46818
470	14412	46786
471	14443	46758
472	14472	46720
473	14501	46687
474	14532	46657
475	14561	46621
476	14592	46590
477	14624	46566
478	14652	46528
479	14681	46490
480	14711	46459
481	14742	46430
482	14773	46401
483	14803	46366
484	14832	46332
485	14861	46296
486	14889	46257
487	14917	46220
488	14948	46191
489	14978	46159
490	15011	46136
491	15043	46108
492	15074	46080
493	15106	46051
494	15137	46023
495	15167	45991
496	15198	45963
497	15229	45933
498	15259	45901
499	15288	45864
500	15318	45833
501	15345	45791
502	15376	45763
503	15407	45733
504	15437	45701
505	15468	45671
506	15498	45640
507	15527	45603
508	15558	45575
509	15588	45541
510	15618	45509
511	15645	45470
512	15674	45435
513	15704	45401
514	15735	45371
515	15767	45345
516	15796	45311
517	15827	45282
518	15858	45253
519	15886	45215
520	15915	45180
521	15947	45155
522	15979	45128
523	16008	45091
524	16037	45057
525	16069	45032
526	16100	45001
527	16132	44975
528	16163	44945
529	16192	44910
530	16222	44877
531	16252	44846
532	16281	44813
533	16310	44777
534	16337	44738
535	16367	44705
536	16398	44677
537	16429	44646
538	16459	44615
539	16491	44587
540	16521	44556
541	16552	44526
542	16583	44496
543	16613	44465
544	16647	44443
545	16680	44419
546	16710	44387
547	16739	44353
548	16767	44315
549	16797	44285
550	16827	44252
551	16860	44228
552	16894	44206
553	16926	44180
554	16958	44153
555	16991	44127
556	17021	44096
557	17051	44065
558	17086	44044
559	17116	44013
560	17148	43986
561	17178	43954
562	17209	43924
563	17240	43896
564	17270	43863
565	17298	43828
566	17329	43797
567	17359	43766
568	17389	43733
569	17422	43708
570	17453	43680
571	17485	43652
572	17517	43624
573	17547	43593
574	17577	43560
575	17606	43526
576	17638	43499
577	17671	43476
578	17701	43443
579	17730	43410
580	17758	43372
581	17789	43342
582	17820	43313
583	17854	43291
584	17885	43261
585	17917	43233
586	17947	43203
587	17978	43172
588	18008	43141
589	18037	43106
590	18069	43079
591	18103	43056
592	18138	43037
593	18168	43005
594	18200	42976
595	18229	42942
596	18279	42957
597	18320	42952
598	18357	42937
599	18395	42921
600	18423	42886
601	18453	42852
602	18482	42818
603	18511	42785
604	18541	42753
605	18571	42719
606	18599	42684
607	18629	42650
608	18661	42623
609	18691	42591
610	18719	42556
611	18748	42520
612	18780	42492
613	18810	42461
614	18842	42433
615	18874	42405
616	18905	42375
617	18936	42345
618	18965	42311
619	18993	42275
620	19021	42239
621	19049	42203
622	19079	42170
623	19110	42140
624	19140	42108
625	19172	42080
626	19202	42049
627	19231	42015
628	19263	41987
629	19292	41954
630	19324	41926
631	19355	41896
632	19386	41866
633	19414	41830
634	19445	41799
635	19475	41768
636	19507	41739
637	19537	41709
638	19570	41682
639	19599	41648
640	19632	41623
641	19664	41595
642	19697	41568
643	19729	41543
644	19760	41513
645	19791	41483
646	19823	41455
647	19856	41429
648	19887	41398
649	19916	41366
650	19947	41335
651	19979	41308
652	20008	41274
653	20038	41241
654	20068	41209
655	20100	41182
656	20131	41150
657	20160	41117
658	20190	41085
659	20222	41056
660	20253	41026
661	20283	40996
662	20312	40961
663	20344	40933
664	20375	40904
665	20404	40870
666	20435	40841
667	20467	40812
668	20497	40781
669	20528	40751
670	20560	40723
671	20588	40687
672	20618	40654
673	20647	40621
674	20678	40591
675	20708	40560
676	20736	40523
677	20767	40492
678	20798	40463
679	20829	40433
680	20861	40406
681	20893	40378
682	20924	40347
683	20954	40315
684	20985	40285
685	21014	40252
686	21044	40220
687	21075	40190
688	21105	40158
689	21133	40123
690	21162	40089
691	21194	40061
692	21227	40034
693	21258	40004
694	21289	39975
695	21320	39944
696	21348	39909
697	21376	39874
698	21408	39846
699	21440	39818
700	21473	39791
701	21504	39761
702	21533	39727
703	21563	39695
704	21591	39660
705	21621	39628
706	21650	39595
707	21679	39561
708	21710	39531
709	21741	39501
710	21775	39477
711	21806	39447
712	21839	39421
713	21867	39386
714	21897	39354
715	21926	39321
