iter	Logloss
0	0.6878400307
1	0.6827723212
2	0.6786383075
3	0.6742999766
4	0.6703615338
5	0.6664621687
6	0.6628524227
7	0.6595465052
8	0.6563743744
9	0.6535227838
10	0.651097468
11	0.6484937025
12	0.6459952352
13	0.6436023352
14	0.6412718798
15	0.6391391221
16	0.6376919958
17	0.6359493283
18	0.6343126912
19	0.6328422535
20	0.6311142778
21	0.6295742794
22	0.628572792
23	0.6276486189
24	0.6266793029
25	0.6253288189
26	0.624121832
27	0.6227989693
28	0.6221238011
29	0.6210557269
30	0.6204908792
31	0.6196245027
32	0.6189598708
33	0.6182439031
34	0.6175681013
35	0.6166821847
36	0.6156006398
37	0.6149077678
38	0.6145675828
39	0.6137963157
40	0.6130664959
41	0.612638018
42	0.6119134835
43	0.6116413285
44	0.6108545002
45	0.6102936637
46	0.6097670158
47	0.609232327
48	0.6088478387
49	0.6085819055
50	0.6079214668
51	0.6075180736
52	0.6070700494
53	0.6068603652
54	0.6067217043
55	0.6064802019
56	0.6063700483
57	0.6059308592
58	0.6056343809
59	0.6053376876
60	0.604864727
61	0.6047335053
62	0.6046588926
63	0.6043741835
64	0.6041821771
65	0.6039748639
66	0.6036399769
67	0.6032009016
68	0.6031505243
69	0.6030989803
70	0.6030544117
71	0.6027332688
72	0.6023014015
73	0.602018103
74	0.6016974107
75	0.6014346596
76	0.6010473119
77	0.60066685
78	0.6003670521
79	0.6000507861
80	0.5997040483
81	0.5994596099
82	0.5993816109
83	0.5991391536
84	0.5989327745
85	0.5988124897
86	0.5985679828
87	0.5983469314
88	0.5981211471
89	0.5978530383
90	0.597513807
91	0.5974196662
92	0.5972829253
93	0.5969743782
94	0.596887482
95	0.5965750776
96	0.5964539006
97	0.5963952854
98	0.5962809916
99	0.5960518649
100	0.5959381418
101	0.5957205815
102	0.5954029449
103	0.5953050126
104	0.5951148613
105	0.5949363452
106	0.5948481872
107	0.5945673754
108	0.5944879447
109	0.594284173
110	0.5941396461
111	0.5937939964
112	0.5936879436
113	0.5935108144
114	0.593192577
115	0.5930466705
116	0.5929186841
117	0.592858098
118	0.592811182
119	0.5927146321
120	0.5926148343
121	0.5924591761
122	0.5923417004
123	0.5919696452
124	0.5918818263
125	0.5916819407
126	0.591589498
127	0.591444192
128	0.5913655439
129	0.5911561687
130	0.5910769184
131	0.5909503823
132	0.5908752484
133	0.5905418356
134	0.5903992575
135	0.5902753547
136	0.5901484653
137	0.5899916438
138	0.5898199187
139	0.5896571719
140	0.589578457
141	0.5895539784
142	0.5893585414
143	0.5893239116
144	0.5892186224
145	0.5892053565
146	0.5890732801
147	0.588860566
148	0.5888605438
149	0.5888601019
150	0.5886944662
151	0.5885205616
152	0.5885088974
153	0.5884933571
154	0.5884820942
155	0.5884219844
156	0.5883121493
157	0.5881397829
158	0.5879346695
159	0.587854962
160	0.5877944049
161	0.587624576
162	0.5875517955
163	0.5874844102
164	0.5874820803
165	0.5872913284
166	0.5872321879
167	0.5872307246
168	0.587148719
169	0.5870723562
170	0.5870277046
171	0.5869659202
172	0.586954731
173	0.5868997142
174	0.5866883198
175	0.5865612709
176	0.5865515584
177	0.5865510869
178	0.5864494417
179	0.586361092
180	0.5862514213
181	0.5862505105
182	0.5859640854
183	0.5858412069
184	0.5856409278
185	0.5855607738
186	0.5853801554
187	0.5852901081
188	0.5852383432
189	0.5851089945
190	0.5849984338
191	0.5849228394
192	0.5847768957
193	0.5846949514
194	0.5846148664
195	0.5844552247
196	0.5844528602
197	0.5843421218
198	0.5841761282
199	0.5840468067
200	0.5839355988
201	0.5837588501
202	0.5836978324
203	0.5836453495
204	0.5835857964
205	0.583471807
206	0.5834717995
207	0.5834439705
208	0.5833499212
209	0.5833056901
210	0.5832441567
211	0.5831219772
212	0.5831099661
213	0.5830601031
214	0.5829097598
215	0.58281329
216	0.5827543388
217	0.5827231576
218	0.5826618738
219	0.5826257485
220	0.5826031236
221	0.5825232113
222	0.5824001472
223	0.5823993643
224	0.5822704579
225	0.5821031863
226	0.5819153823
227	0.5818597199
228	0.5818069777
229	0.5817863343
230	0.5816998052
231	0.5816980308
232	0.5816575861
233	0.5816575841
234	0.5814384566
235	0.5814306002
236	0.5813986182
237	0.581306815
238	0.5811867153
239	0.5811329644
240	0.5810805615
241	0.5810005699
242	0.5808469579
243	0.5807520506
244	0.5807515482
245	0.5805695427
246	0.5805405515
247	0.580451558
248	0.5803818595
249	0.5802756034
250	0.5802116792
251	0.5801292742
252	0.5798659052
253	0.5797253459
254	0.579502371
255	0.579426557
256	0.5793475725
257	0.5792385259
258	0.5791859992
259	0.5790951368
260	0.5790015759
261	0.5789489858
262	0.5789094644
263	0.5788370662
264	0.5788062549
265	0.5785744156
266	0.5782730755
267	0.578195172
268	0.5781296637
269	0.5780429687
270	0.5779992479
271	0.5778112371
272	0.5777341765
273	0.5777274105
274	0.5775943802
275	0.5774692378
276	0.5774087022
277	0.5772594727
278	0.5771204221
279	0.5770249638
280	0.5769469749
281	0.5767689492
282	0.5766913309
283	0.5766538429
284	0.5766538319
285	0.5764855551
286	0.5763142226
287	0.5761989179
288	0.5760764396
289	0.5760234591
290	0.5759801811
291	0.5758172904
292	0.5757715034
293	0.575659889
294	0.5756186396
295	0.575427167
296	0.5753008574
297	0.5753001157
298	0.575300107
299	0.5752528877
300	0.5751697225
301	0.575169493
302	0.5751122339
303	0.5749608762
304	0.5748224892
305	0.5747985316
306	0.574785737
307	0.5746787274
308	0.5746488452
309	0.5746186196
310	0.5744769932
311	0.5744288577
312	0.5743233467
313	0.5742758431
314	0.5741938095
315	0.5740987135
316	0.5740805276
317	0.573946723
318	0.5738158263
319	0.5737278915
320	0.5735836374
321	0.5734658034
322	0.5734221747
323	0.5732832941
324	0.5732235423
325	0.5731585213
326	0.5730274902
327	0.5728871076
328	0.5728526078
329	0.5727491528
330	0.5726935316
331	0.5726619802
332	0.5724725672
333	0.5723521515
334	0.5722595157
335	0.5721945669
336	0.5721183582
337	0.572037878
338	0.5720029301
339	0.5717107502
340	0.5716649909
341	0.5715993023
342	0.5715698205
